feat_skill_python,feat_skill_sql,feat_skill_excel,feat_skill_tableau,feat_skill_power_bi,feat_skill_project_management,feat_skill_machine_learning,feat_skill_deep_learning,feat_skill_nlp,feat_skill_pandas,feat_skill_numpy,feat_skill_spark,feat_skill_aws,feat_skill_azure,feat_skill_gcp,feat_skill_docker,feat_skill_kubernetes,feat_skill_snowflake,feat_num_skills_matched,feat_degree_bachelor,feat_degree_master,feat_degree_mba,feat_degree_phd,feat_top_degree_level,feat_high_title,feat_job_tech,feat_job_sales,feat_job_marketing,feat_job_finance,feat_job_operations,feat_job_hr,feat_job_product,feat_job_design,feat_cert_aws,feat_cert_pmp,feat_cert_scrum,feat_cert_csm,feat_cert_six_sigma,feat_cert_cfa,feat_cert_cpa,feat_cert_azure,feat_cert_gcp,feat_num_promotions,feat_years_experience_extracted,feat_has_metrics,feat_text_len_chars,feat_text_len_words,Experience (Years),Salary Expectation ($),Projects Count,Resume_ID,AI Score (0-100),Recruiter_Decision,_ai_bin,AI Score (Uniform 0-100),feat_salary_extracted,text_len
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,13,10,57933,3,986,100,Hire,"(80.0, 100.0]",90.37162162162164,74426.0,1907.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,11,9,69101,8,174,100,Hire,"(80.0, 100.0]",90.37162162162164,91962.0,2024.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94,15,3,93900,0,397,60,Reject,"(50.0, 60.0]",45.86148648648648,84423.0,2327.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,3,100722,5,173,80,Hire,"(62.5, 80.0]",72.12837837837837,81363.0,2402.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,13,0,93534,5,765,50,Reject,"(45.0, 50.0]",31.29222972972973,86023.0,1535.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,5,81801,1,105,75,Hire,"(62.5, 80.0]",65.79391891891892,78322.0,2184.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,99,13,3,115708,9,992,100,Hire,"(80.0, 100.0]",90.37162162162164,71685.0,1519.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,13,1,108185,8,792,70,Hire,"(62.5, 80.0]",59.332770270270274,70769.0,1820.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,12,3,55365,1,935,60,Reject,"(50.0, 60.0]",45.86148648648648,93333.0,2011.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,11,9,113497,5,520,100,Hire,"(80.0, 100.0]",90.37162162162164,72433.0,1899.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,12,2,83979,5,422,65,Hire,"(62.5, 80.0]",52.78716216216216,75311.0,2153.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,12,1,50848,4,580,50,Reject,"(45.0, 50.0]",31.29222972972973,75051.0,2471.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,14,7,45655,6,639,100,Hire,"(80.0, 100.0]",90.37162162162164,76420.0,1970.0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,12,4,61757,2,466,80,Hire,"(62.5, 80.0]",72.12837837837837,87568.0,2666.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,13,6,76085,4,175,100,Hire,"(80.0, 100.0]",90.37162162162164,90939.0,2615.0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,12,5,109244,5,868,100,Hire,"(80.0, 100.0]",90.37162162162164,89769.0,2333.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,85,12,0,98413,3,114,35,Reject,"(14.999, 35.0]",10.219594594594597,76396.0,2226.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,10,4,84358,2,615,65,Hire,"(62.5, 80.0]",52.78716216216216,78666.0,2353.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,14,6,73268,8,687,100,Hire,"(80.0, 100.0]",90.37162162162164,88942.0,1550.0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,13,1,101851,2,852,50,Reject,"(45.0, 50.0]",31.29222972972973,94233.0,2074.0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,11,0,88256,9,491,70,Hire,"(62.5, 80.0]",59.332770270270274,88431.0,2713.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,10,2,65012,6,337,70,Hire,"(62.5, 80.0]",59.332770270270274,72747.0,2648.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,121,15,1,80647,8,237,80,Hire,"(62.5, 80.0]",72.12837837837837,70189.0,1649.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,60,11,1,45422,10,804,80,Hire,"(62.5, 80.0]",72.12837837837837,89118.0,1813.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,13,1,85905,7,574,70,Hire,"(62.5, 80.0]",59.332770270270274,73005.0,2069.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,12,0,62708,5,12,50,Reject,"(45.0, 50.0]",31.29222972972973,91042.0,1804.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,69,11,5,72099,10,118,100,Hire,"(80.0, 100.0]",90.37162162162164,71899.0,2181.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,11,5,65003,1,576,65,Hire,"(62.5, 80.0]",52.78716216216216,94118.0,2337.0
1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,11,0,40720,2,473,35,Reject,"(14.999, 35.0]",10.219594594594597,71267.0,2577.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,12,9,67341,8,461,100,Hire,"(80.0, 100.0]",90.37162162162164,87912.0,2502.0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,11,8,95978,4,148,100,Hire,"(80.0, 100.0]",90.37162162162164,81394.0,1943.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113,14,1,117772,2,888,45,Reject,"(35.0, 45.0]",21.32601351351352,73556.0,2112.0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91,14,5,42998,6,640,100,Hire,"(80.0, 100.0]",90.37162162162164,73890.0,2492.0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,11,5,45488,9,51,100,Hire,"(80.0, 100.0]",90.37162162162164,78838.0,1763.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,11,5,89654,3,184,80,Hire,"(62.5, 80.0]",72.12837837837837,84502.0,2576.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,99,13,0,103294,5,997,45,Reject,"(35.0, 45.0]",21.32601351351352,91777.0,2503.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,14,2,108247,6,475,80,Hire,"(62.5, 80.0]",72.12837837837837,80627.0,1504.0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11,9,61090,7,704,100,Hire,"(80.0, 100.0]",90.37162162162164,78792.0,2626.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,14,7,58910,7,554,100,Hire,"(80.0, 100.0]",90.37162162162164,80555.0,2719.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,13,8,54594,2,925,100,Hire,"(80.0, 100.0]",90.37162162162164,80253.0,2273.0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,15,2,98024,2,108,55,Reject,"(50.0, 60.0]",39.61148648648648,78433.0,2376.0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,93,13,3,82727,9,669,100,Hire,"(80.0, 100.0]",90.37162162162164,80233.0,2491.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,11,3,70067,3,690,65,Hire,"(62.5, 80.0]",52.78716216216216,81016.0,2383.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,92,14,5,91828,10,733,100,Hire,"(80.0, 100.0]",90.37162162162164,93897.0,1546.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,15,1,52288,1,313,45,Reject,"(35.0, 45.0]",21.32601351351352,72612.0,2366.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,12,9,66133,2,126,100,Hire,"(80.0, 100.0]",90.37162162162164,93425.0,2322.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,55,9,4,108770,10,536,100,Hire,"(80.0, 100.0]",90.37162162162164,92619.0,2435.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69,13,8,63268,7,537,100,Hire,"(80.0, 100.0]",90.37162162162164,91870.0,2155.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,12,9,78574,7,790,100,Hire,"(80.0, 100.0]",90.37162162162164,93483.0,1768.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,89148,8,341,50,Reject,"(45.0, 50.0]",31.29222972972973,85787.0,1869.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,11,0,103202,3,132,30,Reject,"(14.999, 35.0]",5.701013513513513,87159.0,2135.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,62,12,1,105524,9,406,80,Hire,"(62.5, 80.0]",72.12837837837837,82206.0,2629.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94,14,1,86355,4,417,60,Reject,"(50.0, 60.0]",45.86148648648648,78226.0,2156.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,11,10,50166,10,993,100,Hire,"(80.0, 100.0]",90.37162162162164,84541.0,1619.0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,15,7,78218,10,548,100,Hire,"(80.0, 100.0]",90.37162162162164,73152.0,2330.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11,1,82703,0,653,20,Reject,"(14.999, 35.0]",1.4780405405405406,71585.0,2581.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,12,1,68682,7,198,70,Hire,"(62.5, 80.0]",59.332770270270274,73943.0,2240.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,14,2,99578,0,812,45,Reject,"(35.0, 45.0]",21.32601351351352,93939.0,1616.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,13,1,84161,6,472,60,Reject,"(50.0, 60.0]",45.86148648648648,89457.0,2290.0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63,11,0,46679,5,627,45,Reject,"(35.0, 45.0]",21.32601351351352,71021.0,2650.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,14,2,82012,7,289,75,Hire,"(62.5, 80.0]",65.79391891891892,81653.0,2512.0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,13,4,75186,1,677,60,Reject,"(50.0, 60.0]",45.86148648648648,80805.0,2581.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94,14,6,58157,4,825,100,Hire,"(80.0, 100.0]",90.37162162162164,83417.0,2133.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,12,5,88653,0,93,75,Hire,"(62.5, 80.0]",65.79391891891892,90227.0,2012.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,78,12,8,118157,10,379,100,Hire,"(80.0, 100.0]",90.37162162162164,77989.0,2301.0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,13,3,81656,7,598,80,Hire,"(62.5, 80.0]",72.12837837837837,79692.0,2619.0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,15,2,55376,7,318,80,Hire,"(62.5, 80.0]",72.12837837837837,82990.0,2641.0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,91,13,2,116970,3,776,65,Hire,"(62.5, 80.0]",52.78716216216216,76873.0,2059.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,12,0,52290,2,85,35,Reject,"(14.999, 35.0]",10.219594594594597,75675.0,1987.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,119,14,1,60494,0,994,40,Reject,"(35.0, 45.0]",15.076013513513514,70161.0,2760.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,14,2,80720,6,943,80,Hire,"(62.5, 80.0]",72.12837837837837,74297.0,2396.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,74,11,1,64694,9,414,80,Hire,"(62.5, 80.0]",72.12837837837837,70995.0,2795.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,13,5,82093,9,366,100,Hire,"(80.0, 100.0]",90.37162162162164,81534.0,2712.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,11,2,85561,2,115,50,Reject,"(45.0, 50.0]",31.29222972972973,77629.0,2203.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95,15,5,78601,7,242,100,Hire,"(80.0, 100.0]",90.37162162162164,71016.0,2080.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,13,0,112663,7,55,60,Reject,"(50.0, 60.0]",45.86148648648648,94253.0,2289.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,14,1,51229,2,821,50,Reject,"(45.0, 50.0]",31.29222972972973,92823.0,2360.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,11,3,118891,0,372,45,Reject,"(35.0, 45.0]",21.32601351351352,94276.0,1746.0
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,14,2,58438,6,419,80,Hire,"(62.5, 80.0]",72.12837837837837,93247.0,2599.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67,11,8,94680,10,861,100,Hire,"(80.0, 100.0]",90.37162162162164,94300.0,1653.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,83,13,0,71169,4,581,45,Reject,"(35.0, 45.0]",21.32601351351352,78529.0,2496.0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,12,0,43642,7,271,60,Reject,"(50.0, 60.0]",45.86148648648648,87262.0,2609.0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12,1,58823,3,750,45,Reject,"(35.0, 45.0]",21.32601351351352,79268.0,2196.0
